Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
699000,İSTANBUL ,20690375,2022-08-04,Mercedes - Benz,A,A 180 BlueEFFICIENCY AMG Sport,2015,111000,Yarı Otomatik,Benzin,Hatchback/5,1595.0,122,Önden Çekiş,5.7,50,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden
740000,ANKARA ,20686210,2022-08-03,Mercedes - Benz,E,250 CGI AMG Premium,2012,250000,Otomatik,Benzin,Sedan,1796.0,204,Arkadan İtiş,7.6,59,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden
1265000,İSTANBUL ,20681754,2022-08-03,Mercedes - Benz,A,A 200 AMG,2021,13600,Yarı Otomatik,Benzin,Sedan,1332.0,163,Önden Çekiş,5.4,43,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
2615000,İSTANBUL ,20681150,2022-08-03,Mercedes - Benz,E,200 d Exclusive,2022,0,Otomatik,Dizel,Sedan,1597.0,160,Arkadan İtiş,4.7,50,Belirtilmemiş,Takasa Uygun,Yetkili Bayiden
1070000,KONYA ,20675408,2022-08-02,Mercedes - Benz,S,S 320 320 CDI L,2008,332000,Otomatik,Dizel,Sedan,2987.0,235,4WD (Sürekli),8.9,90,Tamamı orjinal,Takasa Uygun,Galeriden
535000,İZMİR ,20155254,2022-08-01,Mercedes - Benz,C,C 180 Kompressor BlueEfficiency Fascination,2010,229000,Otomatik,LPG & Benzin,Sedan,1597.0,156,Arkadan İtiş,6.5,66,3 boyalı,Takasa Uygun,Galeriden
449000,İSTANBUL ,20667105,2022-08-01,Mercedes - Benz,CLC,160 BlueEFFICIENCY,2010,108000,Otomatik,Benzin,Coupe,1597.0,129,Arkadan İtiş,7.9,62,Belirtilmemiş,Takasa Uygun,Galeriden
167500,GİRESUN ,20666425,2022-08-01,Mercedes - Benz,E,200,1994,457000,Otomatik,LPG & Benzin,Sedan,1998.0,136,Arkadan İtiş,11.1,70,"1 değişen, 12 boyalı",Takasa Uygun Değil,Galeriden
675000,ŞANLIURFA ,20665968,2022-08-01,Mercedes - Benz,E,200 Kompressor Avantgarde,2006,419000,Otomatik,Benzin,Sedan,1796.0,184,Arkadan İtiş,8.9,65,1 boyalı,Takasa Uygun Değil,Galeriden
2585000,KONYA ,20665621,2022-08-01,Mercedes - Benz,E,200 d Exclusive,2022,6200,Otomatik,Dizel,Sedan,1597.0,160,Arkadan İtiş,4.7,50,Tamamı orjinal,Takasa Uygun,Galeriden
1027000,KONYA ,20660849,2022-08-01,Mercedes - Benz,C,C 200 d BlueTEC Exclusive,2015,100000,Otomatik,Dizel,Sedan,1598.0,136,Arkadan İtiş,4.2,41,1 boyalı,Takasa Uygun Değil,Sahibinden
1215000,ANKARA ,20659431,2022-07-31,Mercedes - Benz,C,C 180 AMG 7G-Tronic,2016,37500,Otomatik,Benzin,Sedan,1595.0,156,Arkadan İtiş,5.8,41,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
885750,AKSARAY ,20353357,2022-07-29,Mercedes - Benz,E,200 CGI Prime,2010,136000,Otomatik,Benzin,Sedan,1796.0,184,Arkadan İtiş,7.5,59,Belirtilmemiş,Takasa Uygun Değil,Galeriden
1145000,GAZİANTEP ,20643853,2022-07-29,Mercedes - Benz,A,A 180 d Style BlackArt,2020,18500,Yarı Otomatik,Dizel,Sedan,1461.0,116,Önden Çekiş,4.3,43,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
947500,KONYA ,20468933,2022-07-29,Mercedes - Benz,C,C 180 Comfort 9G-Tronic,2018,144000,Otomatik,Benzin,Sedan,1595.0,156,Arkadan İtiş,6.2,41,Belirtilmemiş,Takasa Uygun,Galeriden
635000,BALIKESİR ,20635643,2022-07-28,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY Urban,2014,89000,Yarı Otomatik,Dizel,Hatchback/5,1461.0,109,Önden Çekiş,4.4,50,Belirtilmemiş,Takasa Uygun,Galeriden
2495000,MUĞLA ,20558406,2022-07-26,Mercedes - Benz,E,200 d AMG,2021,12000,Otomatik,Dizel,Sedan,1597.0,160,Arkadan İtiş,4.7,50,Belirtilmemiş,Takasa Uygun,Galeriden
990000,ANKARA ,20598076,2022-07-23,Mercedes - Benz,C,C 200 d BlueTEC Exclusive,2016,203950,Otomatik,Dizel,Sedan,1598.0,136,Arkadan İtiş,4.2,41,Belirtilmemiş,Takasa Uygun,Galeriden
721500,ANKARA ,20565008,2022-07-23,Mercedes - Benz,C,C 180 Kompressor BlueEFFICIENCY AMG,2011,94000,Otomatik,LPG & Benzin,Sedan,1597.0,156,Arkadan İtiş,6.5,66,Belirtilmemiş,Takasa Uygun,Galeriden
1520000,DENİZLİ ,18651262,2022-07-23,Mercedes - Benz,C,C 200 BlueTEC AMG,2018,32000,Otomatik,Dizel,Sedan,1598.0,136,Arkadan İtiş,4.2,41,Belirtilmemiş,Takasa Uygun Değil,Galeriden
2660000,İZMİR ,20536741,2022-07-15,Mercedes - Benz,E,200 d AMG,2022,6300,Otomatik,Dizel,Sedan,1597.0,160,Arkadan İtiş,4.7,50,Belirtilmemiş,Takasa Uygun,Galeriden
249500,İSTANBUL ,20666696,2022-08-01,Mercedes - Benz,C,C 200 Kompressor Sportcoupe,2002,235000,Otomatik,LPG & Benzin,Coupe,1796.0,163,Arkadan İtiş,8.5,62,Tamamı orjinal,Takasa Uygun,Galeriden
240000,İSTANBUL ,20664758,2022-08-01,Mercedes - Benz,E,200 Classic,1997,347650,Otomatik,LPG & Benzin,Sedan,1998.0,136,Arkadan İtiş,9.6,65,"5 değişen, 7 boyalı",Takasa Uygun Değil,Sahibinden
278600,HATAY ,20260014,2022-08-04,Mercedes - Benz,E,200 Kompressor Avantgarde,2000,338500,Otomatik,LPG & Benzin,Sedan,1998.0,163,Arkadan İtiş,9.9,65,Belirtilmemiş,Takasa Uygun,Galeriden
222000,DÜZCE ,20690919,2022-08-04,Mercedes - Benz,C,C 320 Avantgarde,2001,440000,Otomatik,LPG & Benzin,Sedan,3199.0,218,Arkadan İtiş,10.5,62,"2 değişen, 8 boyalı",Takasa Uygun,Galeriden
134950,ANTALYA ,20556456,2022-08-04,Mercedes - Benz,C,C 200 Elegance,1994,44500,Düz,LPG & Benzin,Sedan,1998.0,136,Arkadan İtiş,0.0,62,Belirtilmemiş,Takasa Uygun,Galeriden
805000,DİYARBAKIR ,20690298,2022-08-04,Mercedes - Benz,C,C 180 BlueEFFICIENCY Selection Plus,2013,120000,Otomatik,Benzin,Sedan,1595.0,156,Arkadan İtiş,6.4,59,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
825000,İZMİR ,20690561,2022-08-04,Mercedes - Benz,CLA,200 AMG,2015,101245,Otomatik,Benzin,Coupe,1595.0,156,Önden Çekiş,5.1,50,3 boyalı,Takasa Uygun Değil,Sahibinden
