Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Düz,Otomatik,Yarı Otomatik,Benzin,Dizel,LPG & Benzin,Coupe,Hatchback/3,Hatchback/5,MPV,Sedan,Station wagon,4WD (Sürekli),Önden Çekiş,-,Takasa Uygun,Takasa Uygun Değil,Galeriden,Sahibinden,Yetkili Bayiden
89750,OSMANİYE ,20609907,29 Temmuz 2022,Renault,R 21,1.7 GTS Manager,1991,246000,1721,95,0.0,67,Belirtilmemiş,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
149000,İSTANBUL ,20636033,28 Temmuz 2022,Renault,Laguna,1.6 Privilege,2006,296000,1598,115,7.4,68,Belirtilmemiş,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
469500,İSTANBUL ,20634510,28 Temmuz 2022,Renault,Megane,1.5 dCi Touch,2018,83000,1461,110,3.8,49,Tamamı orjinal,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
385000,ANTALYA ,20634290,28 Temmuz 2022,Renault,Clio,1.5 dCi Touch,2017,119000,1461,90,3.7,45,"1 değişen, 3 boyalı",0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
242750,BURSA ,20633735,28 Temmuz 2022,Renault,Clio,1.2 Grandtour Extreme,2012,118000,1149,75,5.9,55,Tamamı orjinal,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
124000,AYDIN ,20621559,28 Temmuz 2022,Renault,Megane,2.0 RXT,1999,247000,1998,115,8.4,60,Belirtilmemiş,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
282000,AKSARAY ,20388721,28 Temmuz 2022,Renault,Clio,1.5 dCi Joy,2013,144000,1461,75,3.6,45,2 boyalı,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
243000,ANTALYA ,20629834,28 Temmuz 2022,Renault,Symbol,1.5 dCi Joy,2013,200000,1461,75,3.9,50,1 değişen,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
195000,İSTANBUL ,20306460,28 Temmuz 2022,Renault,Symbol,1.4 Authentique,2008,90400,1390,75,7.1,50,1 değişen,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
79000,AMASYA ,20620853,27 Temmuz 2022,Renault,R 12,Toros,1997,256000,1397,72,0.0,0,Tamamı orjinal,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
192000,KONYA ,20456688,27 Temmuz 2022,Renault,Megane,1.6 Dynamique,2004,178000,1598,115,6.8,60,Belirtilmemiş,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
235000,SAKARYA ,20500218,27 Temmuz 2022,Renault,Symbol,1.5 dCi Joy,2016,149000,1461,90,3.9,50,"1 değişen, 8 boyalı",1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
