Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Düz,Otomatik,Yarı Otomatik,Benzin,Dizel,Hibrit,LPG & Benzin,Coupe,Hatchback/3,Hatchback/5,MPV,Sedan,Station wagon,Arkadan İtiş,Önden Çekiş,-,Takasa Uygun,Takasa Uygun Değil,Galeriden,Sahibinden,Yetkili Bayiden
148000,İSTANBUL ,20634931,28 Temmuz 2022,Hyundai,Accent Era,1.5 CRDi-VGT Team,2009,432500,1493,110,4.6,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
449750,SAMSUN ,20400414,28 Temmuz 2022,Hyundai,i20,1.4 MPI Jump,2021,11000,1368,100,6.1,40,Belirtilmemiş,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
295000,ISPARTA ,20629572,27 Temmuz 2022,Hyundai,Accent Blue,1.6 CRDI Mode,2013,258000,1582,128,4.4,43,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
185000,İSTANBUL ,20629451,27 Temmuz 2022,Hyundai,Accent Era,1.5 CRDi-VGT Team,2011,300000,1493,110,4.6,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
515000,GAZİANTEP ,20411583,27 Temmuz 2022,Hyundai,i20,1.0 T-GDI Style Plus,2020,19000,998,100,5.2,40,Belirtilmemiş,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
235500,TEKİRDAĞ ,20627280,27 Temmuz 2022,Hyundai,i30,1.4 CVVT Team,2010,173000,1396,109,6.1,53,7 boyalı,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
283999,İSTANBUL ,20625430,27 Temmuz 2022,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016,155000,1582,136,4.6,43,"3 değişen, 4 boyalı",0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
230000,ARTVİN ,20624199,27 Temmuz 2022,Hyundai,Accent Era,1.5 CRDi-VGT Team,2010,183750,1493,110,4.6,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
410000,ANKARA ,20622005,27 Temmuz 2022,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2018,91000,1582,136,4.5,43,Tamamı orjinal,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
245000,HATAY ,20617819,26 Temmuz 2022,Hyundai,i20,1.4 CRDi Jump,2012,224000,1396,90,4.3,45,1 boyalı,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
185000,SİNOP ,20616864,26 Temmuz 2022,Hyundai,Getz,1.5 CRDi VGT,2007,162000,1493,110,4.5,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
460000,KAHRAMANMARAŞ ,20614028,26 Temmuz 2022,Hyundai,i20,1.4 MPI Elite Smart,2016,75000,1368,100,6.4,50,"1 değişen, 1 boyalı",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
610000,DENİZLİ ,20609281,26 Temmuz 2022,Hyundai,Elantra,1.6 MPI Style Comfort,2021,22000,1598,123,6.2,47,Belirtilmemiş,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
286000,KAHRAMANMARAŞ ,20186193,25 Temmuz 2022,Hyundai,Accent Era,1.4 Team,2011,151000,1399,97,7.6,45,Belirtilmemiş,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
463500,ORDU ,20603799,24 Temmuz 2022,Hyundai,i30,1.6 CRDi Elite,2012,89700,1582,128,5.5,53,Belirtilmemiş,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
247000,İSTANBUL ,20565453,23 Temmuz 2022,Hyundai,Sonata,2.0 CRDi Select,2008,276000,1991,150,7.0,70,Belirtilmemiş,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
166500,ÇANAKKALE ,20386231,17 Temmuz 2022,Hyundai,Getz,1.3 GLS,2004,175000,1341,82,6.2,45,Tamamı orjinal,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
