Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Düz,Otomatik,Yarı Otomatik,Benzin,Dizel,LPG & Benzin,-,Coupe,Hatchback/3,Hatchback/5,MPV,Sedan,Station wagon,Arkadan İtiş,Önden Çekiş,Takasa Uygun,Takasa Uygun Değil,Galeriden,Sahibinden,Yetkili Bayiden
185000,EDİRNE ,20311544,28 Temmuz 2022,Ford,Fiesta,1.4 TDCi Comfort,2007,202000,1399,68,4.3,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
415750,NİĞDE ,20627645,28 Temmuz 2022,Ford,Focus,1.6 TDCi Trend X,2016,158000,1560,95,4.5,53,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
404750,NİĞDE ,20622065,28 Temmuz 2022,Ford,Focus,1.6 TDCi Trend X,2016,138000,1560,95,4.5,53,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
408000,HATAY ,20621872,28 Temmuz 2022,Ford,Focus,1.6 TDCi Trend X,2016,171000,1560,95,4.5,53,"1 değişen, 1 boyalı",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
385000,İSTANBUL ,20636743,28 Temmuz 2022,Ford,Focus,1.6 TDCi Trend X,2017,262000,1560,95,4.5,55,Tamamı orjinal,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
350000,MERSİN ,20632400,28 Temmuz 2022,Ford,Focus,1.6 Ti-VCT Style,2012,207000,1596,125,6.0,55,Belirtilmemiş,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
142000,ANTALYA ,20620331,27 Temmuz 2022,Ford,Fiesta,1.4 TDCi Comfort,2005,259000,1399,68,4.3,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
762000,GAZİANTEP ,20623371,27 Temmuz 2022,Ford,Focus,1.5 TDCi Titanium,2020,44000,1500,120,4.3,47,Tamamı orjinal,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
165000,ADIYAMAN ,20623896,27 Temmuz 2022,Ford,Fiesta,1.4 TDCi Comfort,2007,276000,1399,68,4.3,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
225000,HATAY ,20619501,26 Temmuz 2022,Ford,Fiesta,1.4 TDCi My Fiesta,2011,144000,1398,70,4.2,45,"2 değişen, 3 boyalı",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
377000,İSTANBUL ,20618944,26 Temmuz 2022,Ford,Focus,1.6 Ti-VCT Style,2016,122000,1596,125,6.0,55,8 boyalı,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
292500,ESKİŞEHİR ,20304306,26 Temmuz 2022,Ford,Fiesta,1.5 TDCi Titanium X,2013,114000,1498,75,3.7,42,Belirtilmemiş,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
280000,SAKARYA ,20360700,26 Temmuz 2022,Ford,Fiesta,1.5 TDCi Trend X,2016,198221,1498,75,3.7,42,Tamamı orjinal,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
279000,GAZİANTEP ,20498414,26 Temmuz 2022,Ford,Fiesta,1.5 TDCi Trend X,2014,192000,1498,75,3.7,42,1 boyalı,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
329000,HATAY ,20614407,26 Temmuz 2022,Ford,Focus,1.6 TDCi Trend,2012,235000,1560,95,4.2,53,1 boyalı,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
420000,OSMANİYE ,20474564,25 Temmuz 2022,Ford,Focus,1.6 Ti-VCT Trend X,2015,98000,1596,125,6.0,55,Belirtilmemiş,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
305000,BOLU ,20366136,25 Temmuz 2022,Ford,Fiesta,1.5 TDCi Trend X,2015,128000,1498,75,3.7,42,"2 değişen, 1 boyalı",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
282000,MERSİN ,20608631,25 Temmuz 2022,Ford,Fiesta,1.5 TDCi Trend,2013,185000,1498,75,3.7,42,Tamamı orjinal,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
310000,ADANA ,20600866,24 Temmuz 2022,Ford,Focus,1.6 TDCi Titanium,2011,180000,1560,110,4.5,55,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
317000,İSTANBUL ,20598241,24 Temmuz 2022,Ford,Focus,1.6 TDCi Trend X,2012,165000,1560,95,4.2,53,"1 değişen, 3 boyalı",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
182500,DENİZLİ ,20348270,23 Temmuz 2022,Ford,Fiesta,1.4 Comfort,2004,135500,1388,80,6.4,45,Tamamı orjinal,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
239750,GAZİANTEP ,20588575,22 Temmuz 2022,Ford,C-Max,1.6 TDCi Titanium X,2009,212000,1560,110,4.9,55,12 boyalı,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
265000,HATAY ,19117807,19 Temmuz 2022,Ford,Focus,1.6 TDCi Collection,2011,144500,1560,110,4.8,55,"1 değişen, 5 boyalı",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
385000,AYDIN ,20411726,19 Temmuz 2022,Ford,Fiesta,1.5 TDCi Titanium X,2017,128000,1498,75,3.7,42,Tamamı orjinal,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
435900,ADANA ,20564110,19 Temmuz 2022,Ford,Focus,1.5 TDCi Trend X,2016,197000,1499,120,4.2,55,Belirtilmemiş,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
465000,GAZİANTEP ,19601788,10 Temmuz 2022,Ford,Focus,1.6 TDCi Titanium,2015,79000,1560,115,4.2,55,1 değişen,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
228000,BURSA ,20507452,08 Temmuz 2022,Ford,Focus,1.6 TDCi Collection,2008,197500,1560,110,4.8,55,"1 değişen, 2 boyalı",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
192000,ÇANAKKALE ,20331226,05 Temmuz 2022,Ford,Focus,1.6 Collection,2005,205000,1596,100,6.8,55,Tamamı orjinal,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
328000,ŞANLIURFA ,20454115,29 Haziran 2022,Ford,Focus,1.6 TDCi Trend X,2013,245000,1560,95,4.2,53,3 boyalı,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
337000,EDİRNE ,19888605,27 Haziran 2022,Ford,B-Max,1.5 TDCi Titanium,2012,133000,1498,75,4.1,48,Tamamı orjinal,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
158800,OSMANİYE ,20426623,25 Haziran 2022,Ford,Fiesta,1.4 TDCi Comfort,2006,254000,1399,68,4.3,45,"1 değişen, 5 boyalı",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
412000,YOZGAT ,20413184,27 Temmuz 2022,Ford,Fiesta,1.6 Titanium,2015,79000,1596,105,5.9,42,Tamamı orjinal,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
481500,BATMAN ,20213067,27 Temmuz 2022,Ford,Focus,1.5 TDCi Trend X,2018,133000,1499,120,4.2,55,1 boyalı,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
535750,MUĞLA ,20440435,27 Temmuz 2022,Ford,Focus,1.5 TDCi Trend X,2018,113000,1499,120,4.2,55,Belirtilmemiş,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
265750,MUĞLA ,20440166,27 Temmuz 2022,Ford,Focus,1.6 Comfort,2011,129000,1596,100,6.7,55,"2 değişen, 2 boyalı",1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
271500,BURDUR ,20459668,04 Temmuz 2022,Ford,Fiesta,1.4 TDCi Titanium,2011,161000,1398,70,4.2,45,4 boyalı,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
149000,ANKARA ,20528515,29 Temmuz 2022,Ford,Focus,1.6 Ambiente,2001,290000,1596,100,6.9,55,Belirtilmemiş,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
