Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Düz,Otomatik,Yarı Otomatik,Benzin,Dizel,Hibrit,LPG & Benzin,Coupe,Hatchback/3,Hatchback/5,MPV,Roadster,Sedan,Arkadan İtiş,Önden Çekiş,-,Takasa Uygun,Takasa Uygun Değil,Galeriden,Sahibinden,Yetkili Bayiden
607000,İSTANBUL ,20640842,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2021,25000,1597,125,6.7,47,1 değişen,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
489900,ANTALYA ,20639315,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2015,51000,1598,125,6.7,50,Belirtilmemiş,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
670000,İSTANBUL ,20638005,28 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2020,20000,1597,125,6.7,47,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
587500,MUĞLA ,20636455,28 Temmuz 2022,Honda,Civic,1.6 i-DTEC Premium,2018,67000,1597,120,3.4,46,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
637000,OSMANİYE ,20627237,27 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2019,45000,1597,125,6.3,46,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
720000,KOCAELİ ,20620042,27 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2020,42000,1597,125,6.3,46,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
345000,İZMİR ,20621135,26 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2009,135000,1595,125,7.1,50,"1 değişen, 3 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
319500,ERZİNCAN ,19298108,26 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2009,189000,1595,125,6.7,50,Belirtilmemiş,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
685000,OSMANİYE ,20474549,25 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2021,43000,1597,125,6.7,47,Belirtilmemiş,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
617000,İZMİR ,20607116,25 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2018,63000,1597,125,6.7,47,4 boyalı,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
620000,MERSİN ,20437811,22 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2018,130000,1597,125,6.7,47,1 boyalı,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
305000,İZMİR ,20578590,21 Temmuz 2022,Honda,Civic,1.6 i-VTEC Premium,2011,187000,1595,125,6.7,50,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
725000,KARABÜK ,20368342,15 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2021,12000,1597,125,6.3,46,Tamamı orjinal,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
485000,KONYA ,19170947,14 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2014,108000,1598,125,6.7,50,3 boyalı,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
343500,ANKARA ,20490946,05 Temmuz 2022,Honda,Accord,2.0 Executive,2010,342000,1998,156,7.3,65,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
375000,KONYA ,20565759,19 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2011,212000,1595,125,7.1,50,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
285750,OSMANİYE ,20427133,07 Temmuz 2022,Honda,Civic,1.6 i-VTEC Premium,2007,202000,1595,125,6.7,50,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
