Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden
214000,DİYARBAKIR ,20498447,2022-08-04,Opel,Astra,1.6 Essentia Konfor,2013,131000,Düz,LPG & Benzin,Hatchback/5,1598,115,Önden Çekiş,6.5,52,"3 değişen, 6 boyalı",Takasa Uygun,Galeriden
404500,İSTANBUL ,20688042,2022-08-03,Opel,Astra,1.4 T Sport,2015,85000,Otomatik,Benzin,Sedan,1364,140,Önden Çekiş,6.7,56,Belirtilmemiş,Takasa Uygun Değil,Galeriden
295000,İSTANBUL ,20467535,2022-08-03,Opel,Astra,1.3 CDTI Cosmo,2012,204000,Düz,Dizel,Hatchback/5,1248,95,Önden Çekiş,4.1,56,Belirtilmemiş,Takasa Uygun,Galeriden
274750,İSTANBUL ,20685891,2022-08-03,Opel,Corsa,1.4 Twinport Active,2014,146000,Düz,LPG & Benzin,Hatchback/5,1364,100,Önden Çekiş,5.5,45,Belirtilmemiş,Takasa Uygun,Galeriden
545000,KIRIKKALE ,20559492,2022-08-03,Opel,Astra,1.6 CDTI Sport,2016,58000,Otomatik,Dizel,Sedan,1598,136,Önden Çekiş,5.1,56,Belirtilmemiş,Takasa Uygun,Galeriden
212500,KIRIKKALE ,20558954,2022-08-03,Opel,Astra,1.6 CD,2000,280000,Düz,LPG & Benzin,Sedan,1598,100,Önden Çekiş,7.4,52,1 boyalı,Takasa Uygun,Galeriden
625000,İSTANBUL ,20682561,2022-08-03,Opel,Astra,1.5 D Edition,2021,34500,Otomatik,Dizel,Hatchback/5,1496,122,Önden Çekiş,4.6,48,1 boyalı,Takasa Uygun Değil,Galeriden
121000,KONYA ,20679972,2022-08-03,Opel,Vectra,2.0 GL,1994,303000,Düz,LPG & Benzin,Sedan,1998,115,Önden Çekiş,0.0,0,Belirtilmemiş,Takasa Uygun,Galeriden
427000,İSTANBUL ,20676333,2022-08-02,Opel,Astra,1.6 CDTI Edition Plus,2016,104000,Otomatik,Dizel,Sedan,1598,136,Önden Çekiş,5.1,56,1 değişen,Takasa Uygun,Galeriden
354750,KOCAELİ ,20112200,2022-08-02,Opel,Astra,1.4 T Enjoy Plus,2012,193000,Otomatik,Benzin,Hatchback/5,1364,140,Önden Çekiş,6.8,56,4 boyalı,Takasa Uygun,Galeriden
119000,SİVAS ,20672481,2022-08-02,Opel,Corsa,1.4 Swing,1996,186000,Düz,Benzin,Hatchback/5,1389,60,Önden Çekiş,0.0,42,"1 değişen, 10 boyalı",Takasa Uygun,Galeriden
405000,ANKARA ,20665519,2022-08-01,Opel,Insignia,2.0 CDTI Cosmo Active Select,2010,195000,Otomatik,Dizel,Sedan,1956,160,4WD (Sürekli),6.7,70,Belirtilmemiş,Takasa Uygun,Galeriden
152000,KONYA ,20642521,2022-07-31,Opel,Astra,1.6 Comfort,2001,275000,Düz,LPG & Benzin,Hatchback/5,1598,100,Önden Çekiş,7.1,52,"2 değişen, 5 boyalı",Takasa Uygun,Galeriden
665000,RİZE ,20660806,2022-07-31,Opel,Astra,1.5 D GS Line,2020,12000,Otomatik,Dizel,Hatchback/5,1496,122,Önden Çekiş,4.6,48,Tamamı orjinal,Takasa Uygun,Galeriden
732000,KARS ,20660640,2022-07-31,Opel,Insignia,1.6 CDTI Grand Sport Enjoy,2020,72000,Otomatik,Dizel,Hatchback/5,1598,136,Önden Çekiş,5.1,62,Tamamı orjinal,Takasa Uygun,Galeriden
177500,ZONGULDAK ,20659433,2022-07-31,Opel,Corsa,1.4 Comfort,2001,183000,Otomatik,Benzin,Hatchback/3,1389,90,Önden Çekiş,7.9,44,3 boyalı,Takasa Uygun Değil,Galeriden
433000,ERZİNCAN ,20656640,2022-07-31,Opel,Astra,1.6 CDTI Design,2016,153000,Otomatik,Dizel,Sedan,1598,136,Önden Çekiş,5.1,56,Belirtilmemiş,Takasa Uygun,Sahibinden
136000,SAKARYA ,20652461,2022-07-30,Opel,Corsa,1.3 CDTI Enjoy,2004,530000,Düz,Dizel,Hatchback/5,1248,70,Önden Çekiş,4.5,44,2 boyalı,Takasa Uygun,Sahibinden
139000,KONYA ,20652272,2022-07-30,Opel,Corsa,1.3 CDTI Essentia,2005,304000,Düz,Dizel,Hatchback/5,1248,70,Önden Çekiş,4.5,44,Belirtilmemiş,Takasa Uygun Değil,Galeriden
238000,DİYARBAKIR ,20524683,2022-07-29,Opel,Astra,1.3 CDTI Enjoy Elegance,2009,275000,Düz,Dizel,Sedan,1248,90,Önden Çekiş,5.1,52,4 boyalı,Takasa Uygun Değil,Galeriden
179500,DİYARBAKIR ,20367759,2022-07-29,Opel,Astra,1.3 CDTI Enjoy,2007,242000,Düz,Dizel,Hatchback/5,1248,90,Önden Çekiş,4.8,52,"3 değişen, 5 boyalı",Takasa Uygun Değil,Galeriden
239750,SAMSUN ,20644400,2022-07-29,Opel,Corsa,1.3 CDTI Essentia,2013,164000,Düz,Dizel,Hatchback/5,1248,75,Önden Çekiş,4.2,45,"2 değişen, 1 boyalı",Takasa Uygun,Galeriden
235000,GAZİANTEP ,20640249,2022-07-29,Opel,Corsa,1.2 Twinport Essentia,2011,133000,Düz,Benzin,Hatchback/5,1229,85,Önden Çekiş,5.3,45,"2 değişen, 3 boyalı",Takasa Uygun,Sahibinden
59900,BURSA ,20461762,2022-07-28,Opel,Vectra,2.0 DTI CD,2000,278000,Düz,Dizel,Sedan,1995,100,Önden Çekiş,5.7,60,Belirtilmemiş,Takasa Uygun Değil,Galeriden
345000,DENİZLİ ,20635225,2022-07-28,Opel,Astra,1.6 CDTI Sport,2015,148000,Düz,Dizel,Sedan,1598,136,Önden Çekiş,4.2,56,3 değişen,Takasa Uygun Değil,Sahibinden
205000,İSTANBUL ,20635470,2022-07-28,Opel,Astra,1.6 Comfort,2002,161000,Düz,Benzin,Sedan,1598,100,Önden Çekiş,7.1,52,"2 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden
417000,MERSİN ,20629750,2022-07-28,Opel,Astra,1.6 CDTI Design,2017,119400,Düz,Dizel,Sedan,1598,110,Önden Çekiş,4.0,56,Tamamı orjinal,Takasa Uygun,Sahibinden
254750,AFYONKARAHİSAR ,20621319,2022-07-26,Opel,Corsa,1.3 CDTI Color Edition,2012,118000,Düz,Dizel,Hatchback/5,1248,75,Önden Çekiş,4.2,45,"1 değişen, 6 boyalı",Takasa Uygun,Galeriden
392000,KONYA ,20611026,2022-07-25,Opel,Astra,1.6 Edition Plus,2017,121000,Düz,LPG & Benzin,Sedan,1598,115,Önden Çekiş,6.5,56,Tamamı orjinal,Takasa Uygun,Galeriden
235000,MERSİN ,20610418,2022-07-25,Opel,Corsa,1.3 CDTI Enjoy,2008,259000,Yarı Otomatik,Dizel,Hatchback/5,1248,90,Önden Çekiş,4.6,45,Belirtilmemiş,Takasa Uygun,Galeriden
217500,MUĞLA ,20578779,2022-07-21,Opel,Corsa,1.3 CDTI Enjoy,2011,249000,Düz,Dizel,Hatchback/5,1248,75,Önden Çekiş,4.0,45,Belirtilmemiş,Takasa Uygun,Galeriden
