Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Düz,Otomatik,Yarı Otomatik,Benzin,Dizel,LPG & Benzin,-,Hatchback/3,Hatchback/5,MPV,SUV,Sedan,Station wagon,Önden Çekiş,-.1,Takasa Uygun,Takasa Uygun Değil,Galeriden,Sahibinden,Yetkili Bayiden,Coupe,4WD (Sürekli),Hibrit,Arkadan İtiş,Roadster
357750,MALATYA ,20511507,29 Temmuz 2022,Fiat,Egea,1.4 Fire Easy,2021,6500,1368,95,6.4,45,2 boyalı,1,0,0,1,0,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,1,0,0,,,,,
231500,ANKARA ,20637967,28 Temmuz 2022,Fiat,Marea,1.6 Liberty,2004,41500,1596,103,8.1,63,Tamamı orjinal,1,0,0,1,0,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,1,0,0,,,,,
543000,İSTANBUL ,20503662,28 Temmuz 2022,Fiat,Egea,1.3 Multijet Urban,2022,0,1248,95,4.1,50,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
459750,BURSA ,20636377,28 Temmuz 2022,Fiat,Egea,1.6 Multijet Urban,2021,32000,1598,130,4.3,50,1 boyalı,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,1,0,0,,,,,
455000,ANTALYA ,20634399,28 Temmuz 2022,Fiat,500 Ailesi,500L 1.3 Mjet RockStar,2016,107000,1248,95,3.9,50,3 boyalı,0,0,1,0,1,0,0,0,0,1,0.0,0,0.0,1,0.0,1,0,1,0,0,,,,,
277000,ANTALYA ,20629768,28 Temmuz 2022,Fiat,Linea,1.3 Multijet Pop,2015,152000,1248,95,4.9,45,Tamamı orjinal,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
255000,ANKARA ,20632917,28 Temmuz 2022,Fiat,Bravo,1.6 Mjet Dynamic Plus,2012,101000,1598,120,4.6,58,1 boyalı,0,0,1,0,1,0,0,0,1,0,0.0,0,0.0,1,0.0,1,0,1,0,0,,,,,
485950,BALIKESİR ,20400660,26 Temmuz 2022,Fiat,Egea,1.6 Multijet Urban Plus,2020,51000,1598,120,3.9,45,Belirtilmemiş,0,0,1,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,1,0,0,,,,,
499500,TEKİRDAĞ ,20619610,26 Temmuz 2022,Fiat,Egea,1.6 E-Torq Urban,2019,60000,1598,110,6.3,45,Tamamı orjinal,0,1,0,1,0,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
119800,OSMANİYE ,20618972,26 Temmuz 2022,Fiat,Palio,1.2 EL,2003,234000,1242,81,7.2,51,Belirtilmemiş,1,0,0,0,0,1,0,0,1,0,0.0,0,0.0,1,0.0,0,1,1,0,0,,,,,
67000,DENİZLİ ,20618713,26 Temmuz 2022,Fiat,Tempra,1.6 SX,1993,250000,1581,75,0.0,65,Belirtilmemiş,1,0,0,0,0,1,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
308000,İSTANBUL ,20414993,26 Temmuz 2022,Fiat,Egea,1.3 Multijet Easy,2017,124000,1248,95,4.1,45,"2 değişen, 3 boyalı",1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,1,0,0,,,,,
321000,AYDIN ,20596313,26 Temmuz 2022,Fiat,500 Ailesi,500L 1.6 Mjet RockStar,2013,143781,1598,105,4.7,50,Belirtilmemiş,1,0,0,0,1,0,0,0,0,1,0.0,0,0.0,1,0.0,0,1,1,0,0,,,,,
232000,MUĞLA ,20615928,26 Temmuz 2022,Fiat,Linea,1.3 Multijet Active Plus,2011,157000,1248,90,4.9,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,1,0,0,,,,,
285000,MUĞLA ,20615875,26 Temmuz 2022,Fiat,Linea,1.3 Multijet Pop,2017,148000,1248,95,4.9,45,2 boyalı,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
247000,KIRŞEHİR ,20615371,26 Temmuz 2022,Fiat,Linea,1.4 Fire Active Plus,2013,71000,1368,77,6.3,45,2 boyalı,1,0,0,1,0,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
275000,HATAY ,19287785,26 Temmuz 2022,Fiat,Egea,1.4 Fire Easy Plus,2018,77776,1368,95,5.7,45,"2 değişen, 3 boyalı",1,0,0,0,0,1,0,0,0,0,0.0,1,0.0,1,0.0,0,1,1,0,0,,,,,
224900,İSTANBUL ,20372610,25 Temmuz 2022,Fiat,Linea,1.3 Multijet Pop,2015,160000,1248,95,4.9,45,"2 değişen, 3 boyalı",1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
172900,AYDIN ,20611932,25 Temmuz 2022,Fiat,Albea,1.2 Dynamic,2004,192000,1242,80,7.0,47,Tamamı orjinal,1,0,0,0,0,1,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
480000,İSTANBUL ,20609413,25 Temmuz 2022,Fiat,Egea,1.6 Multijet Urban Plus,2019,66851,1598,120,3.9,45,1 boyalı,0,0,1,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
212000,BURSA ,20607303,25 Temmuz 2022,Fiat,Linea,1.3 Multijet Active Plus,2012,284000,1248,95,4.9,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
123000,BİLECİK ,20583556,24 Temmuz 2022,Fiat,Siena,1.4 EL,1999,194000,1372,71,0.0,51,Belirtilmemiş,1,0,0,0,0,1,0,0,0,0,0.0,1,0.0,1,0.0,0,1,1,0,0,,,,,
379000,BALIKESİR ,20603152,24 Temmuz 2022,Fiat,Egea,1.4 Fire Urban Plus,2020,30000,1368,95,5.7,45,Belirtilmemiş,1,0,0,1,0,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
376000,ANTALYA ,20600988,24 Temmuz 2022,Fiat,Egea,1.4 Fire Easy,2020,27000,1368,95,5.7,45,Tamamı orjinal,1,0,0,1,0,0,0,0,0,0,0.0,1,0.0,1,0.0,0,1,0,1,0,,,,,
256500,KAYSERİ ,20600570,24 Temmuz 2022,Fiat,Linea,1.3 Multijet Pop,2016,135000,1248,95,4.9,45,3 boyalı,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
282500,KAYSERİ ,20600549,24 Temmuz 2022,Fiat,Linea,1.3 Multijet Pop,2017,139000,1248,95,4.9,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
233000,BURSA ,20597295,23 Temmuz 2022,Fiat,Linea,1.6 Multijet Active Plus,2012,178000,1598,105,5.0,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
357500,MANİSA ,20596322,23 Temmuz 2022,Fiat,Egea,1.3 Multijet Easy,2018,142000,1248,95,4.1,45,Belirtilmemiş,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
164000,İSTANBUL ,20595646,23 Temmuz 2022,Fiat,Linea,1.3 Multijet Pop,2015,620000,1248,95,4.9,45,Tamamı boyalı,1,0,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0,1,0,0,,,,,
